Unit: ~~~~
R1   L1   R2   L2   R3   L3   R4   L4
537.805    32.0029    329.974    35.9636    632.549    96.4342    250.671    43.5224
633.77    27.0205    313.952    47.9171    258.896    152.812    509.59    67.5723
250.168    359.043    344.287    20.8954    472.144    102.592    261.856    167.837
405.568    28.2894    277.116    42.0228    284.913    39.2322    316.012    77.9492
250.168    143.715    344.287    20.8954    472.144    278.916    261.856    167.837
250.168    143.715    344.287    20.8954    116.04    102.592    261.856    167.837
413.198    78.7072    490.837    23.9882    355.533    29.7012    343.402    99.1919
250.168    143.715    56.657    20.8954    472.144    102.592    261.856    167.837
346.774    126.406    256.424    32.0084    370.823    48.1808    295.961    119.138
21.4722    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    73.6808    167.837
370.487    60.5792    296.51    52.2623    449.622    130.982    472.633    28.5531
84.3379    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
334.384    27.5698    290.529    40.5176    308    188.343    286.439    166.87
484.26    106.674    309.801    40.578    303.957    107.514    254.212    195.012
250.168    143.715    344.287    20.8954    472.144    280.793    261.856    167.837
324.252    114.007    325.9    20.7361    387.394    76.3066    448.691    160.745
250.168    143.715    344.287    20.8954    472.144    313.738    261.856    167.837
282.609    161.64    250.259    25.8504    250.931    48.1149    283.692    119.292
266.984    197.308    381.962    20.4559    327.227    189.03    453.131    97.3901
301.683    139.365    291.139    30.4428    347.522    146.341    367.145    176.972
314.165    31.9919    364.628    26.1306    263.855    173.247    349.094    177.346
250.168    143.715    344.287    20.8954    106.476    102.592    261.856    167.837
386.677    24.3782    280.137    54.0367    565.18    68.7149    373.814    144.512
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    389.409
250.168    143.715    344.287    20.8954    472.144    288.27    261.856    167.837
250.168    143.715    48.1698    20.8954    472.144    102.592    261.856    167.837
250.168    501.579    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    436.773
250.168    143.715    344.287    20.8954    80.0201    102.592    261.856    167.837
331.927    62.9414    419.729    41.9074    517.602    26.2679    255.203    177.983
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    264.832
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    513.115
468.955    29.5694    260.727    50.3891    317.431    150.549    377.552    186.426
26.3503    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
348.621    89.7873    383.808    44.7694    354.602    82.981    253.525    63.9521
340.396    45.7527    346.255    57.2558    316.973    37.5896    363.453    66.3472
360.248    63.1446    259.919    87.1065    388.798    38.4191    259.247    110.459
354.389    35.4857    300.813    54.7673    271.897    115.93    389.18    158.987
497.032    28.0697    320.727    32.1622    447.638    85.2113    287.828    135.398
388.432    41.3636    263.886    71.8351    291.612    73.8237    716.292    60.9418
392.735    135.371    265.564    25.1143    395.009    28.0422    739.105    45.6868
595.866    61.4307    337.405    24.6693    367.985    172.868    628.811    24.8286
288.911    80.5695    311.007    59.8157    442.404    132.965    293.886    37.5512
353.122    20.1813    258.057    63.7599    549.951    24.0156    365.101    175.412
400.929    87.925    284.074    37.8588    533.09    84.294    443.93    59.6179
250.168    143.715    344.287    20.8954    472.144    346.988    261.856    167.837
290.086    189.178    276.414    64.1115    438.528    27.5808    450.507    81.6187
250.168    143.715    344.287    20.8954    33.6674    102.592    261.856    167.837
250.168    335.223    344.287    20.8954    472.144    102.592    261.856    167.837
292.375    179.532    326.586    28.5806    383.045    82.2175    427.282    98.5656
250.168    458.014    344.287    20.8954    472.144    102.592    261.856    167.837
304.628    105.02    436.605    24.4551    328.295    167.974    653.15    41.402
301.576    28.0862    255.219    75.8232    611.141    28.4378    634.198    65.2815
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    495.415
456.946    142.243    264.389    55.1958    485.359    35.4418    272.477    104.586
372.425    37.282    309.236    49.5596    485.115    53.9433    256.302    159.992
250.168    143.715    186.821    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    333.163    261.856    167.837
254.517    46.6756    278.672    119.94    412.389    28.7069    263.031    23.9717
250.168    295.839    344.287    20.8954    472.144    102.592    261.856    167.837
415.578    91.8912    261.628    21.0273    281.922    199.066    290.132    62.7271
653.256    24.12    386.448    22.6588    253.845    140.502    464.057    161.783
250.168    143.715    344.287    20.8954    472.144    102.592    61.5735    167.837
250.168    143.715    154.576    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    48.9499    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    63.4577    102.592    261.856    167.837
176.829    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
57.2503    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    409.047
414.632    29.6408    269.669    38.4741    453.055    161.212    271.241    182.224
449.286    78.9599    258.637    43.5554    326.159    172.951    281.953    113.628
